adversarial_prob,confidence_change,flipped,method,original_prob,pixels_modified
0.022678978741168976,0.018365546595305204,0,multi_pixel_2,0.0043134321458637714,2.0
0.07032100856304169,0.06600757641717792,0,multi_pixel_3,0.0043134321458637714,3.0
0.8702024221420288,0.07887566089630127,0,differential_evolution,0.9490780830383301,
0.4845970869064331,0.464480996131897,1,multi_pixel_1,0.9490780830383301,1.0
0.5966599583625793,0.35241812467575073,0,multi_pixel_2,0.9490780830383301,2.0
0.2084815502166748,0.7405965328216553,1,multi_pixel_3,0.9490780830383301,3.0
0.959161639213562,0.028931796550750732,0,differential_evolution,0.9880934357643127,
0.7610843777656555,0.22700905799865723,0,multi_pixel_1,0.9880934357643127,1.0
0.6507337093353271,0.3373597264289856,0,multi_pixel_2,0.9880934357643127,2.0
0.15186117589473724,0.8362322598695755,1,multi_pixel_3,0.9880934357643127,3.0
0.5387719869613647,0.29622600972652435,1,differential_evolution,0.2425459772348404,
0.5347608923912048,0.29221491515636444,1,multi_pixel_1,0.2425459772348404,1.0
0.8171377778053284,0.574591800570488,1,multi_pixel_2,0.2425459772348404,2.0
0.8096855878829956,0.5671396106481552,1,multi_pixel_3,0.2425459772348404,3.0
0.031246479600667953,0.018790094181895256,0,differential_evolution,0.012456385418772697,
0.025388024747371674,0.012931639328598976,0,multi_pixel_1,0.012456385418772697,1.0
0.04956941679120064,0.03711303137242794,0,multi_pixel_2,0.012456385418772697,2.0
0.09510074555873871,0.08264436013996601,0,multi_pixel_3,0.012456385418772697,3.0
0.6615287661552429,0.2731724679470062,1,differential_evolution,0.3883562982082367,
0.5187600255012512,0.13040372729301453,1,multi_pixel_1,0.3883562982082367,1.0
0.7608804702758789,0.3725241720676422,1,multi_pixel_2,0.3883562982082367,2.0
0.7414252161979675,0.35306891798973083,1,multi_pixel_3,0.3883562982082367,3.0
0.5360856056213379,0.09999185800552368,1,differential_evolution,0.4360937476158142,
0.541120707988739,0.1050269603729248,1,multi_pixel_1,0.4360937476158142,1.0
0.7446860671043396,0.3085923194885254,1,multi_pixel_2,0.4360937476158142,2.0
0.764413058757782,0.3283193111419678,1,multi_pixel_3,0.4360937476158142,3.0
0.20286080241203308,0.10788937658071518,0,differential_evolution,0.0949714258313179,
0.2521616816520691,0.1571902558207512,0,multi_pixel_1,0.0949714258313179,1.0
0.5714330077171326,0.47646158188581467,1,multi_pixel_2,0.0949714258313179,2.0
0.5262243747711182,0.43125294893980026,1,multi_pixel_3,0.0949714258313179,3.0
0.9533417820930481,0.02553480863571167,0,differential_evolution,0.9788765907287598,
0.949600338935852,0.029276251792907715,0,multi_pixel_1,0.9788765907287598,1.0
0.275496244430542,0.7033803462982178,1,multi_pixel_2,0.9788765907287598,2.0
0.3001725971698761,0.6787039935588837,1,multi_pixel_3,0.9788765907287598,3.0
0.5553687214851379,0.2655099630355835,0,differential_evolution,0.8208786845207214,
0.2727645933628082,0.5481140911579132,1,multi_pixel_1,0.8208786845207214,1.0
0.13465991616249084,0.6862187683582306,1,multi_pixel_2,0.8208786845207214,2.0
0.015279405750334263,0.8055992787703872,1,multi_pixel_3,0.8208786845207214,3.0
0.6236786842346191,0.25806480646133423,0,differential_evolution,0.8817434906959534,
0.5565314888954163,0.3252120018005371,0,multi_pixel_1,0.8817434906959534,1.0
0.21037746965885162,0.6713660210371017,1,multi_pixel_2,0.8817434906959534,2.0
0.03277568146586418,0.8489678092300892,1,multi_pixel_3,0.8817434906959534,3.0
0.29145583510398865,0.0808849185705185,0,differential_evolution,0.21057091653347015,
0.34128427505493164,0.1307133585214615,0,multi_pixel_1,0.21057091653347015,1.0
0.42118752002716064,0.2106166034936905,0,multi_pixel_2,0.21057091653347015,2.0
0.6034680604934692,0.3928971439599991,1,multi_pixel_3,0.21057091653347015,3.0
0.09314927458763123,0.05011758208274841,0,differential_evolution,0.04303169250488281,
0.09066257625818253,0.04763088375329971,0,multi_pixel_1,0.04303169250488281,1.0
0.2374669909477234,0.19443529844284058,0,multi_pixel_2,0.04303169250488281,2.0
0.338383287191391,0.2953515946865082,0,multi_pixel_3,0.04303169250488281,3.0
0.20672865211963654,0.743959829211235,1,differential_evolution,0.9506884813308716,
0.7132994532585144,0.23738902807235718,0,multi_pixel_1,0.9506884813308716,1.0
0.2479856014251709,0.7027028799057007,1,multi_pixel_2,0.9506884813308716,2.0
0.05475277081131935,0.8959357105195522,1,multi_pixel_3,0.9506884813308716,3.0
0.36195504665374756,0.6124991178512573,1,differential_evolution,0.9744541645050049,
0.2405112236738205,0.7339429408311844,1,multi_pixel_1,0.9744541645050049,1.0
0.36987170577049255,0.6045824587345123,1,multi_pixel_2,0.9744541645050049,2.0
0.027905087918043137,0.9465490765869617,1,multi_pixel_3,0.9744541645050049,3.0
0.0886332243680954,0.028038181364536285,0,differential_evolution,0.06059504300355911,
0.08839606493711472,0.027801021933555603,0,multi_pixel_1,0.06059504300355911,1.0
0.10679684579372406,0.04620180279016495,0,multi_pixel_2,0.06059504300355911,2.0
0.27467772364616394,0.21408268064260483,0,multi_pixel_3,0.06059504300355911,3.0
0.7858728766441345,0.1745758056640625,0,differential_evolution,0.960448682308197,
0.8060165643692017,0.15443211793899536,0,multi_pixel_1,0.960448682308197,1.0
0.35453125834465027,0.6059174239635468,1,multi_pixel_2,0.960448682308197,2.0
0.4056906998157501,0.5547579824924469,1,multi_pixel_3,0.960448682308197,3.0
0.9874688386917114,0.010954022407531738,0,differential_evolution,0.9984228610992432,
0.9902797341346741,0.008143126964569092,0,multi_pixel_1,0.9984228610992432,1.0
0.7734432220458984,0.22497963905334473,0,multi_pixel_2,0.9984228610992432,2.0
0.04775581508874893,0.9506670460104942,1,multi_pixel_3,0.9984228610992432,3.0
0.756229817867279,0.15743917226791382,0,differential_evolution,0.9136689901351929,
0.6542995572090149,0.259369432926178,0,multi_pixel_1,0.9136689901351929,1.0
0.3836504817008972,0.5300185084342957,1,multi_pixel_2,0.9136689901351929,2.0
0.007211239077150822,0.906457751058042,1,multi_pixel_3,0.9136689901351929,3.0
0.01780974306166172,0.733868008479476,1,differential_evolution,0.7516777515411377,
0.47894152998924255,0.27273622155189514,1,multi_pixel_1,0.7516777515411377,1.0
0.022968508303165436,0.7287092432379723,1,multi_pixel_2,0.7516777515411377,2.0
0.0019073507282882929,0.7497704008128494,1,multi_pixel_3,0.7516777515411377,3.0
0.9225660562515259,0.05465734004974365,0,differential_evolution,0.9772233963012695,
0.8698961734771729,0.10732722282409668,0,multi_pixel_1,0.9772233963012695,1.0
0.8115982413291931,0.16562515497207642,0,multi_pixel_2,0.9772233963012695,2.0
0.3237942159175873,0.6534291803836823,1,multi_pixel_3,0.9772233963012695,3.0
0.6699221730232239,0.25423938035964966,0,differential_evolution,0.9241615533828735,
0.3546692430973053,0.5694923102855682,1,multi_pixel_1,0.9241615533828735,1.0
0.07517260313034058,0.848988950252533,1,multi_pixel_2,0.9241615533828735,2.0
0.03591106832027435,0.8882504850625992,1,multi_pixel_3,0.9241615533828735,3.0
0.7709679007530212,0.14768928289413452,0,differential_evolution,0.9186571836471558,
0.3001900911331177,0.6184670925140381,1,multi_pixel_1,0.9186571836471558,1.0
0.0822782963514328,0.836378887295723,1,multi_pixel_2,0.9186571836471558,2.0
0.024844247847795486,0.8938129357993603,1,multi_pixel_3,0.9186571836471558,3.0
0.965728759765625,0.02296656370162964,0,differential_evolution,0.9886953234672546,
0.733497679233551,0.2551976442337036,0,multi_pixel_1,0.9886953234672546,1.0
0.49754247069358826,0.4911528527736664,1,multi_pixel_2,0.9886953234672546,2.0
0.062134936451911926,0.9265603870153427,1,multi_pixel_3,0.9886953234672546,3.0
0.8003202676773071,0.093350350856781,0,differential_evolution,0.8936706185340881,
0.6383511424064636,0.2553194761276245,0,multi_pixel_1,0.8936706185340881,1.0
0.25655898451805115,0.637111634016037,1,multi_pixel_2,0.8936706185340881,2.0
0.16899168491363525,0.7246789336204529,1,multi_pixel_3,0.8936706185340881,3.0
0.239531010389328,0.712326854467392,1,differential_evolution,0.95185786485672,
0.7972941994667053,0.15456366539001465,0,multi_pixel_1,0.95185786485672,1.0
0.49089595675468445,0.4609619081020355,1,multi_pixel_2,0.95185786485672,2.0
0.010461431927978992,0.941396432928741,1,multi_pixel_3,0.95185786485672,3.0
0.2131778746843338,0.0871475338935852,0,differential_evolution,0.1260303407907486,
0.25493302941322327,0.12890268862247467,0,multi_pixel_1,0.1260303407907486,1.0
0.4244246184825897,0.2983942776918411,0,multi_pixel_2,0.1260303407907486,2.0
0.599711537361145,0.4736811965703964,1,multi_pixel_3,0.1260303407907486,3.0
0.46670737862586975,0.5086190402507782,1,differential_evolution,0.975326418876648,
0.8779649138450623,0.0973615050315857,0,multi_pixel_1,0.975326418876648,1.0
0.2193053811788559,0.756021037697792,1,multi_pixel_2,0.975326418876648,2.0
0.009258106350898743,0.9660683125257492,1,multi_pixel_3,0.975326418876648,3.0
0.0056189680472016335,0.5026287054643035,1,differential_evolution,0.5082476735115051,
0.39046305418014526,0.11778461933135986,1,multi_pixel_1,0.5082476735115051,1.0
0.25836262106895447,0.24988505244255066,1,multi_pixel_2,0.5082476735115051,2.0
0.09839435666799545,0.4098533168435097,1,multi_pixel_3,0.5082476735115051,3.0
0.20640721917152405,0.06317964196205139,0,differential_evolution,0.14322757720947266,
0.3329482972621918,0.18972072005271912,0,multi_pixel_1,0.14322757720947266,1.0
0.28450581431388855,0.1412782371044159,0,multi_pixel_2,0.14322757720947266,2.0
0.39925915002822876,0.2560315728187561,0,multi_pixel_3,0.14322757720947266,3.0
0.4288097023963928,0.3703960254788399,0,differential_evolution,0.05841367691755295,
0.3567940890789032,0.29838041216135025,0,multi_pixel_1,0.05841367691755295,1.0
0.38010862469673157,0.3216949477791786,0,multi_pixel_2,0.05841367691755295,2.0
0.6699205040931702,0.6115068271756172,1,multi_pixel_3,0.05841367691755295,3.0
0.4474211633205414,0.44693782925605774,1,differential_evolution,0.8943589925765991,
0.3007698655128479,0.5935891270637512,1,multi_pixel_1,0.8943589925765991,1.0
0.13732536137104034,0.7570336312055588,1,multi_pixel_2,0.8943589925765991,2.0
0.11226063966751099,0.7820983529090881,1,multi_pixel_3,0.8943589925765991,3.0
0.8174092173576355,0.14629560708999634,0,differential_evolution,0.9637048244476318,
0.46835359930992126,0.49535122513771057,1,multi_pixel_1,0.9637048244476318,1.0
0.7699251174926758,0.19377970695495605,0,multi_pixel_2,0.9637048244476318,2.0
0.05442966893315315,0.9092751555144787,1,multi_pixel_3,0.9637048244476318,3.0
0.18420088291168213,0.1308993175625801,0,differential_evolution,0.05330156534910202,
0.13091056048870087,0.07760899513959885,0,multi_pixel_1,0.05330156534910202,1.0
0.2228580266237259,0.16955646127462387,0,multi_pixel_2,0.05330156534910202,2.0
